title,price,mileage,location,dealerName,link,thumbnailURL
2005 Pontiac Bonneville GXP,$5,995,115,258 mi., Mesa, AZ,Az Auto Gallery Of Mesa,https://www.cars.com/vehicledetail/47af12df-a297-4f20-ae3f-a440a455fb08/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2004 Chrysler Sebring,$4,950,119,763 mi., Phoenix, AZ,Elite Auto Gallery,https://www.cars.com/vehicledetail/5aafbedf-81e8-4d37-8717-77bcb1410585/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2017 Chevrolet Sonic Premier,$7,995,101,796 mi., Peoria, AZ,Peoria Subaru,https://www.cars.com/vehicledetail/f9440f49-80b0-4f3d-891b-10f23dc5d6a9/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2015 FIAT 500 Pop,$5,988,113,000 mi., Glendale, AZ,New Deal Pre-Owned Auto,https://www.cars.com/vehicledetail/b0ffaadb-1c10-4281-9890-f211211c16fb/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2015 Hyundai Elantra SE,$7,777,114,000 mi., Glendale, AZ,New Deal Pre-Owned Auto,https://www.cars.com/vehicledetail/e41ad7f9-989a-4b98-8e95-e6f7b566c0f9/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2014 Nissan Versa 1.6 S+,$5,995,71,212 mi., Phoenix, AZ,J&m Imports,https://www.cars.com/vehicledetail/d54d04ae-7f87-4a9a-b4ee-f20edb71ad9e/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2012 Nissan Armada SV,$5,999,236,104 mi., Mesa, AZ,Vip Auto Sales,https://www.cars.com/vehicledetail/a8a37a23-83ec-488f-a0f9-9bb31c0d2a00/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2012 Hyundai Sonata Limited,$7,999,113,284 mi., Mesa, AZ,Vip Auto Sales,https://www.cars.com/vehicledetail/ff646619-91f8-460a-94e9-fe4f9b275c6b/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2009 Jeep Grand Cherokee Limited,$5,988,121,000 mi., Glendale, AZ,New Deal Pre-Owned Auto,https://www.cars.com/vehicledetail/d887d1c1-23ba-4eed-8ce6-8ea2a7a7b78f/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2007 Kia Sorento LX,$5,988,114,000 mi., Glendale, AZ,New Deal Pre-Owned Auto,https://www.cars.com/vehicledetail/c63b5d52-dda2-4620-ba9a-f25df6120a61/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2005 Hyundai XG350,$5,988,90,000 mi., Glendale, AZ,New Deal Pre-Owned Auto,https://www.cars.com/vehicledetail/752ab1ae-c20e-4200-9e78-42103ace3676/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
1999 Cadillac Eldorado Standard,$6,495,70,993 mi., Mesa, AZ,Az Auto Gallery Of Mesa,https://www.cars.com/vehicledetail/0653bff7-3ce3-4709-ba95-60c278624e93/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2020 Nissan Versa 1.6 S,$6,900,113,871 mi., Phoenix, AZ,Easy Car Auto Sales,https://www.cars.com/vehicledetail/507732ba-4f0b-4a9c-a888-77aa4135f47b/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2016 Nissan Versa 1.6 SV,$7,291,80,542 mi., Mesa, AZ,Ideal Cars,https://www.cars.com/vehicledetail/c359387c-dbb1-43e7-857c-0e98066e602a/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2015 Chrysler 200 S,$3,900,163,831 mi., Phoenix, AZ,Easy Car Auto Sales,https://www.cars.com/vehicledetail/dc24efab-56f6-4c68-8a47-55742b68e492/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2014 Ford Fusion S,$5,791,154,577 mi., Mesa, AZ,Ideal Cars,https://www.cars.com/vehicledetail/f2b0576e-a191-4b8b-9eac-a6591fb36f7b/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2014 Buick Enclave Leather,$6,931,178,387 mi., Tempe, AZ,Auto House Tempe,https://www.cars.com/vehicledetail/8cf138c9-0644-44ce-8aa4-9eeefebeb4a5/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2014 Dodge Avenger SE,$7,988,92,000 mi., Phoenix, AZ,Runway Auto,https://www.cars.com/vehicledetail/134897fa-34c5-4bcc-a807-4c1699d75491/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2013 Ford Escape SEL,$4,500,154,006 mi., Phoenix, AZ,Easy Car Auto Sales,https://www.cars.com/vehicledetail/75c1222d-b21a-4cd1-9c89-ebc61c6cc079/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2013 Chevrolet Cruze LS,$6,988,118,000 mi., Glendale, AZ,New Deal Pre-Owned Auto,https://www.cars.com/vehicledetail/d0c2d079-c0b6-4cdb-a421-981529fcd4e3/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2017 Nissan Versa 1.6 S Plus,$8,000,117,293 mi., Mesa, AZ,Larry H Miller Nissan Mesa,https://www.truecar.com/used-cars-for-sale/listing/3N1CN7AP1HL846187/?referrer_id=autotempest,https://thumb.autotempest.com/tc/3N1CN7AP1HL846187_3N1CN7AP1HL846187_c1ae38e3389cb520caada9f2ae6d80c7_117293_5bd0c03b64dfa5d1ac0f2eed2082ff81.webp"), url("//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2014 Ford Taurus SEL,$7,399,119,202 mi., Scottsdale, AZ,Van Chevrolet Az,https://www.truecar.com/used-cars-for-sale/listing/1FAHP2E8XEG151943/?referrer_id=autotempest,https://thumb.autotempest.com/tc/1FAHP2E8XEG151943_1FAHP2E8XEG151943_351a3b43ebc81c0377bc7dd2ec1fffa1_119202_8fc572e456d355a68681d99b57cac06a.webp"), url("//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2014 Ford Escape SE,$7,762,115,911 mi., Phoenix, AZ,Autonation Usa Phoenix,https://www.truecar.com/used-cars-for-sale/listing/1FMCU0GX8EUD72637/?referrer_id=autotempest,https://thumb.autotempest.com/tc/1FMCU0GX8EUD72637_1FMCU0GX8EUD72637_bad6aac5212c41b76cf7777ee70da21f_115911_3f4917f54f883d9c25387c7c921cf3e6.webp"), url("//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
