title,price,mileage,location,dealerName,link,thumbnailURL
2014 Chevrolet Impala Limited LT,$6,995,161,207 mi., Mesa, AZ,Brown & Brown Auto Center,https://www.truecar.com/used-cars-for-sale/listing/2G1WB5E33E1131013/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2014 Mazda CX-5 Touring,$7,604,156,265 mi., Phoenix, AZ,Chapman Hyundai,https://www.truecar.com/used-cars-for-sale/listing/JM3KE4CY5E0318164/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2013 Nissan Altima 2.5 S,$7,491,104,319 mi., Mesa, AZ,Ideal Cars 1,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP7DN469173/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2013 Ford Escape SE,$7,591,118,442 mi., Mesa, AZ,Ideal Cars 1,https://www.truecar.com/used-cars-for-sale/listing/1FMCU9GX9DUB32029/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2012 Volkswagen Passat TDI SEL Premium,$6,400,170,520 mi., Phoenix, AZ,German Auto Az,https://www.truecar.com/used-cars-for-sale/listing/1VWCN7A3XCC073201/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2012 Hyundai Tucson Limited,$6,995,149,234 mi., Mesa, AZ,Good Car Co,https://www.truecar.com/used-cars-for-sale/listing/KM8JU3AC3CU364196/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2012 FIAT 500 Pop,$6,995,99,488 mi., Mesa, AZ,Brown & Brown Auto Center,https://www.truecar.com/used-cars-for-sale/listing/3C3CFFDR4CT339315/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2012 Nissan Sentra 2.0 SR,$7,491,69,821 mi., Mesa, AZ,Ideal Cars 1,https://www.truecar.com/used-cars-for-sale/listing/3N1AB6APXCL624119/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2011 Subaru Impreza 2.5i Premium,$6,995,137,584 mi., Chandler, AZ,Autonation Honda Chandler,https://www.truecar.com/used-cars-for-sale/listing/JF1GH6B67BH815222/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2008 Chrysler PT Cruiser Limited,$6,995,80,790 mi., Phoenix, AZ,Myrick Motors,https://www.truecar.com/used-cars-for-sale/listing/3A8FY68868T122434/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2007 Lexus ES ES 350,$6,991,124,695 mi., Mesa, AZ,Ideal Cars 1,https://www.truecar.com/used-cars-for-sale/listing/JTHBJ46G972047347/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2005 Honda Pilot EX-L,$6,995,133,792 mi., Mesa, AZ,Brown & Brown Auto Center,https://www.truecar.com/used-cars-for-sale/listing/5FNYF18535B033168/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2016 Hyundai Elantra SE,$7,918,117,864 mi., Phoenix, AZ,Autonation Chrysler North Phoenix,https://www.truecar.com/used-cars-for-sale/listing/5NPDH4AE4GH763339/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2014 Ford Fiesta SE,$4,975,87,003 mi., Phoenix, AZ,Another Time Used Cars 2,https://www.truecar.com/used-cars-for-sale/listing/3FADP4EJ3EM151771/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2013 Hyundai Sonata GLS,$6,995,154,743 mi., Gilbert, AZ,Autonation Chevrolet Gilbert,https://www.truecar.com/used-cars-for-sale/listing/5NPEB4AC8DH546733/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2012 Nissan Xterra S,$7,991,158,442 mi., Mesa, AZ,Ideal Cars 1,https://www.truecar.com/used-cars-for-sale/listing/5N1AN0NU3CC511377/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2011 Honda Insight Base,$4,500,163,589 mi., Mesa, AZ,Carz R Us Llc,https://www.truecar.com/used-cars-for-sale/listing/JHMZE2H35BS005865/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2011 Dodge Avenger Heat,$5,999,116,162 mi., Mesa, AZ,Carizona,https://www.truecar.com/used-cars-for-sale/listing/1B3BD1FG0BN524831/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2006 Ford Mustang Base,$5,491,140,326 mi., Mesa, AZ,Ideal Cars 1,https://www.truecar.com/used-cars-for-sale/listing/1ZVHT84N765107165/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2006 Buick Lucerne CX,$5,991,78,714 mi., Mesa, AZ,Ideal Cars 1,https://www.truecar.com/used-cars-for-sale/listing/1G4HP57216U224202/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2006 Toyota Camry Solara SE V6,$6,491,134,786 mi., Mesa, AZ,Ideal Cars 1,https://www.truecar.com/used-cars-for-sale/listing/4T1CA38P56U094001/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2005 Kia Sorento LX,$5,995,86,403 mi., Phoenix, AZ,J&m Imports,https://www.truecar.com/used-cars-for-sale/listing/KNDJD733555410665/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2004 Chrysler Sebring LXi,$4,950,119,763 mi., Phoenix, AZ,Elite Auto Gallery,https://www.truecar.com/used-cars-for-sale/listing/1C3EL55R44N252932/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2017 Chevrolet Sonic Premier,$7,995,101,796 mi., Peoria, AZ,Moore Chrysler Jeep Subaru,https://www.truecar.com/used-cars-for-sale/listing/1G1JF5SB5H4130593/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2016 BMW 3 Series 328i,$6,566,178,774 mi., Phoenix, AZ,Chapman Hyundai,https://www.truecar.com/used-cars-for-sale/listing/WBA8E3C50GK504590/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2016 Nissan Versa 1.6 SV,$7,291,80,542 mi., Mesa, AZ,Ideal Cars 1,https://www.truecar.com/used-cars-for-sale/listing/3N1CN7AP2GL839750/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2015 Nissan LEAF SV,$5,991,52,090 mi., Mesa, AZ,Brown Brothers Automotive,https://www.truecar.com/used-cars-for-sale/listing/1N4AZ0CP6FC329060/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2015 Hyundai Accent GS,$6,581,138,919 mi., Tempe, AZ,Autonation Hyundai Tempe,https://www.truecar.com/used-cars-for-sale/listing/KMHCT5AE8FU203646/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2014 Ford Fusion S,$5,791,154,577 mi., Mesa, AZ,Ideal Cars 1,https://www.truecar.com/used-cars-for-sale/listing/3FA6P0G77ER150869/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2014 Buick Regal Base,$7,696,115,841 mi., Scottsdale, AZ,Van Chevrolet Az,https://www.truecar.com/used-cars-for-sale/listing/2G4GK5EX0E9273573/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2011 Kia Soul +,$7,991,66,750 mi., Mesa, AZ,Brown Brothers Automotive,https://www.truecar.com/used-cars-for-sale/listing/KNDJT2A27B7259943/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2010 Hyundai Elantra GLS,$6,983,107,295 mi., Avondale, AZ,Autonation Usa Phoenix Avondale,https://www.truecar.com/used-cars-for-sale/listing/KMHDU4ADXAU178471/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2008 Nissan Pathfinder SE,$4,900,126,712 mi., Mesa, AZ,Carz R Us Llc,https://www.truecar.com/used-cars-for-sale/listing/5N1AR18U88C653463/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2008 Mazda Mazda3 s Sport,$5,537,164,960 mi., Tempe, AZ,Autonation Nissan Tempe,https://www.truecar.com/used-cars-for-sale/listing/JM1BK324181146143/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2008 Chrysler Sebring Touring,$6,983,39,557 mi., Phoenix, AZ,Autonation Usa Phoenix,https://www.truecar.com/used-cars-for-sale/listing/1C3LC56K78N196516/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2017 Nissan Versa 1.6 S Plus,$6,995,88,501 mi., Phoenix, AZ,J&m Imports,https://www.truecar.com/used-cars-for-sale/listing/3N1CN7AP4HL817752/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2016 Nissan Altima 2.5 S,$7,975,122,672 mi., Phoenix, AZ,Another Time Used Cars 2,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP0GC227857/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
